#Level1	Level2	Level3	unknown	Pathway
Degradation/Utilization/Assimilation	Carboxylate Degradation	Oxalate Degradation	oxalate degradation II	PWY-6695
Degradation/Utilization/Assimilation	Carboxylate Degradation	Oxalate Degradation	oxalate degradation III	PWY-6696
Degradation/Utilization/Assimilation	Carboxylate Degradation	Oxalate Degradation	oxalate degradation IV	PWY-6697
Degradation/Utilization/Assimilation	Carboxylate Degradation	Oxalate Degradation	oxalate degradation V	PWY-6698
Biosynthesis	Secondary Metabolite Biosynthesis	unknow	oxalate biosynthesis	PWY-6699
Macromolecule Modification	Nucleic Acid Processing	Queuosine Biosynthesis and Salvage	queuosine biosynthesis	PWY-6700
Biosynthesis	Secondary Metabolite Biosynthesis	unknow	preQ0 biosynthesis	PWY-6703
Degradation/Utilization/Assimilation	Carboxylate Degradation	L-Ascorbate Degradation	L-ascorbate degradation IV	PWY-6704
Biosynthesis	Aromatic Compound Biosynthesis	unknow	gallate biosynthesis	PWY-6707
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	ubiquinol-8 biosynthesis (prokaryotic)	PWY-6708
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	poly-hydroxy fatty acids biosynthesis	PWY-6710
Macromolecule Modification	Nucleic Acid Processing	unknow	archaeosine biosynthesis	PWY-6711
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	L-rhamnose degradation II	PWY-6713
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	L-rhamnose degradation III	PWY-6714
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	(1,4)-&beta,-xylan degradation	PWY-6717
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfoacetaldehyde degradation III	PWY-6718
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	toyocamycin biosynthesis	PWY-6720
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	sangivamycin biosynthesis	PWY-6721
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	candicidin biosynthesis	PWY-6722
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	starch degradation II	PWY-6724
Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	unknow	methylaspartate cycle	PWY-6728
Biosynthesis	Other Biosynthesis	unknow	methylhalides biosynthesis (plants)	PWY-6730
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	starch degradation III	PWY-6731
Biosynthesis	Cell Structure Biosynthesis	Plant Cell Structures	sporopollenin precursors biosynthesis	PWY-6733
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	starch degradation IV	PWY-6735
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur volatiles biosynthesis	PWY-6736
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	starch degradation V	PWY-6737
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	pinitol biosynthesis I	PWY-6738
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	pinitol biosynthesis II	PWY-6739
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	methane oxidation to methanol	methane oxidation to methanol II	PWY-6742
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production I	PWY-6744
Detoxification	Detoxification	unknow	phytochelatins biosynthesis	PWY-6745
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction VII (denitrification)	PWY-6748
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	CMP-legionaminate biosynthesis I	PWY-6749
Generation of Precursor Metabolites and Energy	Hydrogen Production	Superpathways	superpathway of hydrogen production	PWY-6751
Biosynthesis	Aromatic Compound Biosynthesis	unknow	o-diquinones biosynthesis	PWY-6752
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	S-methyl-5\'-thioadenosine Degradation	S-methyl-5'-thioadenosine degradation III	PWY-6753
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	S-methyl-5\'-thioadenosine Degradation	S-methyl-5'-thioadenosine degradation I	PWY-6754
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	S-methyl-5\'-thioadenosine Degradation	S-methyl-5'-thioadenosine degradation II	PWY-6756
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production II	PWY-6758
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production III	PWY-6759
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	xylose degradation III	PWY-6760
Biosynthesis	Aromatic Compound Biosynthesis	Salicylate and Derivatives Biosynthesis	salicylate glucosides biosynthesis IV	PWY-6762
Biosynthesis	Aromatic Compound Biosynthesis	unknow	salicortin biosynthesis	PWY-6763
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production IV	PWY-6765
Biosynthesis	Aromatic Compound Biosynthesis	unknow	salicin biosynthesis	PWY-6766
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	4,4'-diapolycopenedioate biosynthesis	PWY-6767
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	rhamnogalacturonan type I degradation I (fungi)	PWY-6769
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	rhamnogalacturonan type I degradation II (bacteria)	PWY-6771
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production V	PWY-6772
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	callose biosynthesis	PWY-6773
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	laminaribiose degradation	PWY-6778
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production VI	PWY-6780
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	chlorogenic acid degradation	PWY-6781
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	cellulose and hemicellulose degradation (cellulolosome)	PWY-6784
Generation of Precursor Metabolites and Energy	Hydrogen Production	unknow	hydrogen production VIII	PWY-6785
Detoxification	Metabolic Clusters	unknow	detoxification of reactive carbonyls in chloroplasts	PWY-6786
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	flavonoid biosynthesis (in equisetum)	PWY-6787
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	cellulose degradation II (fungi)	PWY-6788
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	(1,3)-&beta,-D-xylan degradation	PWY-6789
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	L-arabinan degradation	PWY-6790
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	xyloglucan degradation I (endoglucanase)	PWY-6791
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	scopoletin biosynthesis	PWY-6792
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenosine 5'-phosphoramidate biosynthesis	PWY-6794
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis	PWY-6795
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	PWY-6797
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	fatty acid biosynthesis (plant mitochondria)	PWY-6799
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	volatile esters biosynthesis (during fruit ripening)	PWY-6801
Biosynthesis	Secondary Metabolite Biosynthesis	unknow	salidroside biosynthesis	PWY-6802
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	phosphatidylcholine acyl editing	PWY-6803
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	PWY-6804
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	cellulose degradation I (cellulosome)	PWY-6805
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	carotenoid cleavage	PWY-6806
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	xyloglucan degradation II (exoglucanase)	PWY-6807
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	dTDP-D-forosamine biosynthesis	PWY-6808
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	neoxanthin biosynthesis	PWY-6809
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	dibenzothiophene desulfurization	PWY-681
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	xyloglucan degradation III (cellobiohydrolase)	PWY-6812
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	glucuronoarabinoxylan degradation	PWY-6813
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	porphyran degradation	PWY-6815
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	agarose degradation	PWY-6816
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	&lambda,-carrageenan degradation	PWY-6817
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	ornithine lipid biosynthesis	PWY-6818
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	diphyllin biosynthesis	PWY-6820
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	&kappa,-carrageenan degradation	PWY-6821
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	&iota,-carrageenan degradation	PWY-6822
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	molybdenum cofactor biosynthesis	PWY-6823
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	justicidin B biosynthesis	PWY-6824
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	phosphatidylcholine biosynthesis V	PWY-6825
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	phosphatidylcholine biosynthesis VI	PWY-6826
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	gellan degradation	PWY-6827
Detoxification	Antibiotic Resistance	unknow	linezolid resistance	PWY-6828
Macromolecule Modification	Nucleic Acid Processing	Metabolic Clusters	tRNA methylation (yeast)	PWY-6829
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	superpathway of methanogenesis	PWY-6830
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	pyrrolnitrin biosynthesis	PWY-6831
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	2-aminoethylphosphonate degradation II	PWY-6832
Biosynthesis	Amine and Polyamine Biosynthesis	Spermidine Biosynthesis	spermidine biosynthesis III	PWY-6834
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	6-gingerol biosynthesis	PWY-6835
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	santalene biosynthesis II	PWY-6836
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	PWY-6837
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	2-aminoethylphosphonate biosynthesis	PWY-6839
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	homoglutathione biosynthesis	PWY-6840
Detoxification	Detoxification	unknow	homophytochelatin biosynthesis	PWY-6841
Detoxification	Detoxification	unknow	glutathione-mediated detoxification II	PWY-6842
Biosynthesis	Metabolic Regulator Biosynthesis	Nitric Oxide Biosynthesis	nitric oxide biosynthesis (plants)	PWY-6845
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Flavonoid Degradation	rutin degradation	PWY-6848
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	senecionine N-oxide biosynthesis	PWY-6852
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	ethylene biosynthesis II (microbes)	PWY-6853
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	ethylene biosynthesis III (microbes)	PWY-6854
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	chitin degradation I (archaea)	PWY-6855
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Vitamin Biosynthesis	retinol biosynthesis	PWY-6857
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	all-trans-farnesol biosynthesis	PWY-6859
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Vitamin Biosynthesis	the visual cycle I (vertebrates)	PWY-6861
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to hexanol	PWY-6863
Biosynthesis	Other Biosynthesis	unknow	3-methylbutanol biosynthesis	PWY-6871
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Vitamin Biosynthesis	retinoate biosynthesis I	PWY-6872
Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	unknow	long chain fatty acid ester synthesis for microdiesel production	PWY-6873
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Vitamin Biosynthesis	retinoate biosynthesis II	PWY-6875
Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	unknow	isopropanol biosynthesis	PWY-6876
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to butanol II	PWY-6883
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation to Alcohols	1-butanol autotrophic biosynthesis	PWY-6886
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	kauralexin biosynthesis	PWY-6887
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	zealexin biosynthesis	PWY-6888
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	PWY-6890
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiazole biosynthesis II (Bacillus)	PWY-6891
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiazole biosynthesis I (E. coli)	PWY-6892
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin diphosphate biosynthesis II (Bacillus)	PWY-6893
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin diphosphate biosynthesis I (E. coli)	PWY-6894
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	superpathway of thiamin diphosphate biosynthesis II	PWY-6895
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin salvage I	PWY-6896
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin salvage II	PWY-6897
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin salvage III	PWY-6898
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	base-degraded thiamin salvage	PWY-6899
Biosynthesis	Secondary Metabolite Biosynthesis	Sulfur-Containing Secondary Compound Biosynthesis	(Z)-butanethial-S-oxide biosynthesis	PWY-6900
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	superpathway of glucose and xylose degradation	PWY-6901
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	chitin degradation II	PWY-6902
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	chitin derivatives degradation	PWY-6906
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin diphosphate biosynthesis III (Staphylococcus)	PWY-6907
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiamin diphosphate biosynthesis IV (eukaryotes)	PWY-6908
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	thiazole biosynthesis III (eukaryotes)	PWY-6909
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	hydroxymethylpyrimidine salvage	PWY-6910
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	methylbutenol biosynthesis	PWY-6913
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	sophoraflavanone G biosynthesis	PWY-6914
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	pentalenolactone biosynthesis	PWY-6915
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	vernolate biosynthesis III	PWY-6917
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	neopentalenoketolactone and pentalenate biosynthesis	PWY-6919
Biosynthesis	Secondary Metabolite Biosynthesis	PWY-6920	unknown	PWY-6920
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-N&delta,-acetylornithine biosynthesis	PWY-6922
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	ricinine degradation	PWY-6923
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	pyrethrin I biosynthesis	PWY-6926
